authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Jeremy Hughes","Secrets of the Times  Myth and History in Biblical Chronology","","Bible","1990-04-01T19:00:00+11:00","Sheffield Academic Press","9780567629302","isbn:9780567629302,goodreads:16062129,amazon:0567629309"
"Mogens Müller","The First Bible of the Church: A Plea for the Septuagint","","New Testament (NT), Bible, Septuagint (LXX)","1996-05-01T15:53:08+11:00","Bloomsbury Publishing","9780567634177","google:uWhTCvUC1Q8C,isbn:9780567634177,goodreads:16062132"
"Thomas Edward McComiskey","The Minor Prophets: Zephaniah, Haggai, Zechariah, and Malachi","","Reference, Bible, Exegesis, Old Testament Commentary, Old Testament (OT)","1992-11-15T16:13:05+11:00","Baker Academic","9780801020551","goodreads:533073,google:L9sQAQAAIAAJ,amazon:0801020557,isbn:9780801020551"
"Mark W. Chavalas","Mesopotamia and the Bible  Comparitive Explorations","","Bible, Mesopotamia, ANE, Ancient Near East, Old Testament (OT), Comparitive Criticism, Historical Criticism","2000-11-01T19:00:00+11:00","Baker Academic","9780801024207","isbn:9780801024207,goodreads:1092639,amazon:080102420X"
"Raymond F. Collins","Second Corinthians","Paideia: Commentaries on the New Testament","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2013-04-01T11:00:00+11:00","Baker Academic","9780801031861","isbn:9780801031861,goodreads:15863574"
"George W. Knight Iii","The Pastoral Epistles  A Commentary on the Greek Text","New International Greek Testament Commentary","Bible, New Testament (NT), New Testament commentary","2013-11-25T11:00:00+11:00","","9780802823953","asin:B002EZYX2K,isbn:9780802823953,goodreads:8218162,guid:d6b976b64a853fef7e7059c6a1d34a289c6685f8,oasin:0802823955"
"Sarah J. Dille","Mixing Metaphors: God as Mother and Father in Deutero-Isaiah","","Bible, Old Testament (OT), Isaiah, Ancient Near East, ANE, Theology","2004-06-15T11:00:00+11:00","Bloomsbury Academic","9780826471567","goodreads:7726859,isbn:9780826471567,google:ztXYAAAAMAAJ,amazon:0826471560"
"Lee I. Levine","Jerusalem  Portrait of the City in the Second Temple Period","","Bible","2002-12-02T19:00:00+11:00","The Jewish Publication Society","9780827607507","amazon:0827607504,isbn:9780827607507,goodreads:490388"
"John H. Walton & J. Harvey Walton","The Lost World of the Torah: Law as Covenant and Wisdom in Ancient Context","","Bible, Language Study, Biblical Reference, Ethics, Exegesis, Old Testament (OT), Ancient Near East, ANE, Theology, Wisdom Literature, Poetry","2019-02-26T12:32:58+11:00","InterVarsity Press","9780830872572","google:K9iGDwAAQBAJ,isbn:9780830872572"
"Eric D Reymond","Intermediate Biblical Hebrew Grammar  A Student's Guide to Phonology and Morphology","","Bible","2018-06-07T22:56:25+11:00","SBL Press","9780884142508","amazon:0884142507,goodreads:36869338,isbn:9780884142508"
"J. Gordon McConville","Law and Theology in Deuteronomy","","Bible, Deuteronomy, Old Testament (OT), Pentateuch, Theology, Torah","1984-11-15T15:54:11+11:00","JSOT","9780905774787","goodreads:4382631,google:XcvYAAAAMAAJ,isbn:9780905774787"
"Daniel Seltzer","Leviticus","","Old Testament Commentary, Bible, Old Testament (OT), Leviticus","2013-08-15T15:59:20+11:00","Two Cents Plain Publishing Company","9780989804516","goodreads:20493457,google:-ET6ngEACAAJ,isbn:9780989804516"
"Kelly D. Liebengood","The Eschatology of 1 Peter  Considering the Influence of Zechariah 9-14","","Bible, New Testament (NT), Theology","2014-01-01T19:00:00+11:00","Cambridge University Press","9781107039742","goodreads:18849209,isbn:9781107039742,amazon:1107039746"
"Anna de Fina & Alexandra Georgakopoulou","The Cambridge Handbook of Discourse Studies","","Linguistics, Bible, Sociolinguistics, Discourse Analysis, Language","2020-10-15T16:04:11+11:00","Cambridge University Press","9781108425148","isbn:9781108425148,google:I2ZUzQEACAAJ,goodreads:52628807"
"Sung Jin Park","The Fundamentals of Hebrew Accents: Divisions and Exegetical Roles Beyond Syntax","","Linguistics, Syntax, Bible, Accents, Hebrew, Biblical Hebrew, Language, Old Testament (OT)","2020-07-16T16:04:04+11:00","Cambridge University Press","9781108479936","goodreads:48813324,isbn:9781108479936,google:mILoDwAAQBAJ"
"Stephen E. Potthoff","The Afterlife in Early Christian Carthage  Near-Death Experiences, Ancestor Cult, and the Archaeology of Paradise","","Bible, Archaeology","2016-10-22T15:17:26+11:00","Routledge","9781138182981","isbn:9781138182981,goodreads:29808891,amazon:1138182982"
"James T Turner Jr","On the Resurrection of the Dead  A New Metaphysics of Afterlife for Christian Thought","","Bible, Theology","2018-07-29T11:00:00+11:00","Routledge","9781138350625","isbn:9781138350625,amazon:1138350621,goodreads:40590941"
"M. Patrick Graham","Worship and the Hebrew Bible  Essays in Honor of John T. Willis","","Bible, Old Testament (OT), Biblical History","1999-01-01T00:30:00+11:00","Sheffield Academic Press","9781281814364","isbn:9781281814364,amazon:1281814369,goodreads:16886937"
"Stephen Shead","Radical Frame Semantics and Biblical Hebrew","","Bible, Biblical Hebrew, Linguistics, Reference, Semantics, Discourse Analysis","2011-09-02T11:00:00+11:00","BRILL","9789004188396","amazon:9004188398,goodreads:18534001,isbn:9789004188396"
"Ellie Mackin Roberts","Underworld Gods in Ancient Greek Religion  Death and Reciprocity","","Bible","0101-01-01T11:00:00+11:00","Routledge","9781351273718","goodreads:53038121,isbn:9781351273718,amazon:135127371X"
"Richard J. Coggins & Jin H. Han","Six Minor Prophets Through the Centuries: Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, and Malachi","","Bible, Minor Prophets, Reception History, Old Testament (OT), Old Testament Commentary, Theology","2011-09-06T12:42:13+11:00","John Wiley & Sons","9781405176750","isbn:9781405176750,google:5nVjPQVeELYC"
"Carole M. Cusack","The Sacred Tree  Ancient and Medieval Manifestations","","Bible, New Testament (NT)","2011-05-01T18:00:00+11:00","Cambridge Scholars Publishing","9781443828574","goodreads:11570681,isbn:9781443828574,amazon:1443828572"
"Walter Brueggemann","Like Fire in the Bones  Listening for the Prophetic Word in Jeremiah","","Bible, Old Testament (OT), Jeremiah","2006-08-15T18:00:00+11:00","Fortress Press","9781451419672","isbn:9781451419672,goodreads:18265399,amazon:1451419678"
"Robert E Longacre","The Grammar of Discourse","","Bible","1996-06-30T01:30:00+11:00","Springer","9781489901644","goodreads:18830837,isbn:9781489901644,amazon:1489901647"
"George J. Brooke & Barnabas Lindars","Septuagint, Scrolls, and Cognate Writings: Papers Presented to the International Symposium on the Septuagint and Its Relations to the Dead Sea Scrolls and Other Writings (Manchester, 1990)","","Textual Criticism, Bible, Septuagint (LXX)","1992-11-15T15:45:36+11:00","Scholars Press","9781555407063","isbn:9781555407063,goodreads:64358280,google:8ykSAQAAIAAJ"
"Stephen L. Cook","Reading Deuteronomy   A Literary and Theological Commentary","","Bible, Deuteronomy, Old Testament (OT), Pentateuch, Old Testament Commentary","2015-01-01T19:00:00+11:00","Smyth & Helwys","9781573127578","goodreads:25098464,isbn:9781573127578,amazon:1573127574,mobi-asin:12d17975-5540-4b6e-af43-4faf18dd452b"
"John A. Cook","Time and the Biblical Hebrew Verb  The Expression of Tense, Aspect, and Modality in Biblical Hebrew","","Bible, Biblical Hebrew","2012-11-01T00:30:00+11:00","Eisenbrauns","9781575062563","isbn:9781575062563,goodreads:17140519,amazon:1575062569"
"James K. Aitken","No Stone Unturned  Greek Inscriptions and Septuagint Vocabulary","","Bible, Septuagint (LXX)","2014-10-21T00:30:00+11:00","Eisenbrauns","9781575063249","isbn:9781575063249,goodreads:26568595"
"Aaron Michael Butts","Language Change in the Wake of Empire  Syriac in Its Greco-Roman Context","","Bible","2016-04-08T11:00:00+11:00","Eisenbrauns","9781575064215","isbn:9781575064215,goodreads:29005347"
"Jan Joosten & Eberhard Bons","Septuagint Vocabulary: Pre-History, Usage, Reception","","Bible, Biblical History, Koine Greek, Old Testament (OT), Septuagint (LXX), New Testament (NT), Theology","2011-11-15T12:33:30+11:00","Society of Biblical Literature","9781589835856","isbn:9781589835856,google:VgijZwEACAAJ"
"Matthew Levering","Jesus and the Demise of Death: Resurrection, Afterlife, and the Fate of the Christian","","Bible, New Testament (NT), Theology","2012-11-15T12:29:47+11:00","Baylor University Press","9781602584471","isbn:9781602584471,google:kJOdZwEACAAJ"
"Johann Cook","Toward a Theology of the Septuagint","","Bible, Septuagint (LXX), Theology, Hermeneutics, New Testament (NT), Old Testament (OT), New Testament commentary","2020-07-17T11:00:00+11:00","SBL Press","9781628372700","google:2wBcywEACAAJ,amazon:1628372702,isbn:9781628372700,goodreads:54223116"
"Wolter H. Rose","Zemah and Zerubbabel  Messianic Expectations in the Early Postexilic Period","","Bible","2000-07-01T01:30:00+11:00","Bloomsbury T&T Clark","9781841270746","isbn:9781841270746,goodreads:823407,amazon:1841270741"
"Bernard S. Jackson","Studies in the Semiotics of Biblical Law","","Bible, Biblical Hebrew","2000-11-01T19:00:00+11:00","Bloomsbury T&T Clark","9781841271507","goodreads:3944614,amazon:1841271500,isbn:9781841271507"
"Luke Gärtner-Brereton","The Ontology of Space in Biblical Hebrew Narrative  The Determinate Function of Narrative ""Space"" Within the Biblical Hebrew Aesthetic","","Bible","2008-09-30T11:00:00+11:00","Equinox Publishing (UK)","9781845533144","goodreads:2115944,isbn:9781845533144"
"Johann Maier","The Temple Scroll  An Introduction, Translation and Commentary","","Bible","1985-12-28T19:00:00+11:00","Sheffield Academic Press","9781850750031","isbn:9781850750031,amazon:1850750033,goodreads:303673"
"David Jobling","The Sense of Biblical Narrative: Structural Analyses in the Hebrew Bible","","Literary Criticism, Bible, Biblical Hebrew, Old Testament (OT)","1986-01-01T15:54:38+11:00","A&C Black","9781850750109","isbn:9781850750109,amazon:1850750106,goodreads:11618581,google:IWytAwAAQBAJ"
"Sven Soderlund","The Greek Text of Jeremiah: A Revised Hypothesis","","Exegesis, Bible, Septuagint (LXX), Old Testament (OT), Jeremiah","1985-11-15T15:53:40+11:00","JSOT Press, Department of Biblical Studies, University of Sheffield","9781850750284","google:h-TYAAAAMAAJ,amazon:1850750289,goodreads:5367639,isbn:9781850750284"
"Martin Noth","The Chronicler's History","","Bible, Old Testament (OT)","1987-01-01T15:52:33+11:00","A&C Black","9781850750444","isbn:9781850750444,google:K2-tAwAAQBAJ,goodreads:8484567"
"Kirsten Nielsen","There Is Hope for a Tree  The Tree as Metaphor in Isaiah","","Bible, New Testament (NT), Old Testament (OT), Isaiah","1989-02-01T19:00:00+11:00","Sheffield Academic Press","9781850751823","amazon:185075182X,isbn:9781850751823,goodreads:5047815"
"George Wishart Anderson & A. Graeme Auld","Understanding Poets and Prophets: Essays in Honour of George Wishart Anderson","","Bible, Old Testament (OT)","1993-01-01T15:54:50+11:00","A&C Black","9781850754275","google:n32tAwAAQBAJ,goodreads:958646,isbn:9781850754275"
"Bernard M. Levinson","Theory and Method in Biblical and Cuneiform Law  Revision, Interpolation and Development","","Bible, Torah, Law, Biblical History, Covenant, Ancient Near East, ANE","1983-04-01T19:00:00+11:00","Sheffield Academic Press","9781850754985","isbn:9781850754985,goodreads:4380833,amazon:1850754985"
"John Day","Psalms","","Bible, Old Testament (OT), Old Testament Commentary, Psalms, Wisdom Literature, Theology, old testament theology","1990-11-01T19:00:00+11:00","Bloomsbury T&T Clark","9781850757030","isbn:9781850757030,amazon:1850757038,goodreads:11544171"
"Lester L. Grabbe","Leading Captivity Captive: 'The Exile' as History and Ideology","","Bible, Old Testament (OT), Theology, Biblical History, Ancient Near East, ANE","1998-09-01T16:11:37+11:00","T&T Clark","9781850759072","google:EcWizgEACAAJ,goodreads:2214970,amazon:1850759073,isbn:9781850759072"
"Geoffrey Grogan","Prayer, Praise and Prophecy","","Bible, Old Testament (OT), Psalms, Wisdom Literature, Theology, old testament theology","2001-11-15T15:24:04+11:00","Mentor","9781857926422","google:baLYPAAACAAJ,amazon:1857926420,isbn:9781857926422,goodreads:2249729"
"Shelley L. Birdsong","Partners With God: Theological and Critical Readings of the Bible in Honor of Marvin A. Sweeney","","Bible, Old Testament (OT), Psalms, Wisdom Literature, Theology, old testament theology, Ancient Near East, ANE","2017-11-15T12:34:37+11:00","Claremont Press","9781946230133","isbn:9781946230133,google:eAhKswEACAAJ"
"Conleth Kearns & Gerard J. Norton & Maurice Gilbert & Núria Calduch-Benages","The Expanded Text of Ecclesiasticus: Its Teaching on the Future Life as a Clue to Its Origin","","Bible, Septuagint (LXX)","2011-11-15T16:01:17+11:00","Walter de Gruyter","9783110252583","isbn:9783110252583,goodreads:14674862,google:FLNqRcmmor0C"
"Ariel Feldman","The Dead Sea Scrolls Rewriting Samuel and Kings: Texts and Commentary","","Textual Criticism, Judaism, Bible, Old Testament (OT)","2015-07-31T16:03:52+11:00","Walter de Gruyter GmbH & Co KG","9783110339291","amazon:3110339293,goodreads:26360805,google:74E_CgAAQBAJ,isbn:9783110339291"
"Markus Witte & Sven Behnke","The Metaphorical Use of Language in Deuterocanonical and Cognate Literature","","Bible","2014-12-11T11:00:00+11:00","de Gruyter","9783110355055","amazon:3110355051,google:ghjvoQEACAAJ,isbn:9783110355055"
"Kristin de Troyer & Barbara Schmitz","The Early Reception of the Torah","","Bible, Septuagint (LXX)","2020-07-15T14:01:34+11:00","de Gruyter","9783110691443","isbn:9783110691443,google:jRM8zQEACAAJ,amazon:3110691442"
"Elvira Martin-Contreras","The Text of the Hebrew Bible  From the Rabbis to the Masoretes","","Bible, Biblical Hebrew","2013-10-01T01:30:00+11:00","Vandenhoeck & Ruprecht","9783525550649","goodreads:18647276,amazon:3525550642,isbn:9783525550649"
"Johann Cook","The Septuagint of Proverbs: Jewish And/or Hellenistic Proverbs? : Concerning the Hellenistic Colouring of Lxx Proverbs","","Bible, Judaism, Septuagint (LXX), Old Testament (OT)","1997-11-15T16:07:15+11:00","BRILL","9789004108790","goodreads:1643721,google:Y03rmLI1N7oC,isbn:9789004108790"
"Emanuel Tov","The Greek and Hebrew Bible: Collected Essays on the Septuagint","","Judaism, Bible, Koine Greek, Septuagint (LXX), Biblical Hebrew, Old Testament (OT)","1999-11-15T16:06:13+11:00","BRILL","9789004113091","goodreads:14715078,google:-f_NA74CrNgC,isbn:9789004113091"
"Jacob Neusner","Judaism's Story of Creation: Scripture, Halakhah, Aggadah","","Creation, Judaism, Bible, History, Theology","2000-05-15T11:00:00+11:00","BRILL","9789004118997","amazon:9004118993,goodreads:7957180,google:agcdtGmQfwIC,isbn:9789004118997"
"Matthijs J. de Jong","Isaiah Among the Ancient Near Eastern Prophets: A Comparative Study of the Earliest Stages of the Isaiah Tradition and the Neo-Assyrian Prophecies","","Bible, Judaism, Prophecy, Prophets, Biblical Hebrew, Isaiah, Old Testament (OT), Ancient Near East, ANE, Comparitive Criticism, Historical Criticism","2007-11-15T16:05:46+11:00","BRILL","9789004161610","google:fFoWA4cLOisC,isbn:9789004161610,amazon:9004161619,goodreads:5681303"
"Thomas Hieke","The Day of Atonement  Its Interpretations in Early Jewish and Christian Traditions","","Bible, Leviticus, Old Testament (OT), Reception History","2011-11-11T19:00:00+11:00","BRILL","9789004216792","amazon:9004216790,isbn:9789004216792,goodreads:14717924"
"Craig A. Evans & Joel N. Lohr & David L. Petersen","The Book of Genesis: Composition, Reception, and Interpretation","","Bible, Exegesis, Genesis, Old Testament (OT), Old Testament Commentary, Reception History, Bible Interpretation, Rescension Criticism","2012-03-20T16:09:53+11:00","BRILL","9789004226579","goodreads:18066302,isbn:9789004226579,google:rQIyAQAAQBAJ"
"Gunnar Magnus Eidsvag","The Old Greek Translation of Zechariah","","Bible","2015-10-21T00:30:00+11:00","BRILL","9789004302716","isbn:9789004302716,goodreads:26788668,amazon:9004302719"
"Andres Piquer Otero & Pablo A. Torijano Morales","The Text of the Hebrew Bible and Its Editions: Studies in Celebration of the Fifth Centennial of the Complutensian Polyglot","","Bible, Biblical Hebrew, Old Testament (OT)","2017-11-15T16:06:44+11:00","BRILL","9789004334984","goodreads:31420241,google:btn0vQAACAAJ,isbn:9789004334984"
"Benjamin Suchard","The Development of the Biblical Hebrew Vowels  Including a Concise Historical Morphology","","Bible, Biblical Hebrew","0101-01-01T11:00:00+11:00","BRILL","9789004390263","isbn:9789004390263,goodreads:48625774"
"David Shepherd & Jan Joosten & Michaël N. van Der Meer","Septuagint, Targum and Beyond: Comparing Aramaic and Greek Versions From Jewish Antiquity","","Bible, Septuagint (LXX)","2020-07-15T14:01:16+11:00","BRILL","9789004416710","google:23USxwEACAAJ,isbn:9789004416710"
